,celltype1,celltype2,interacting_pair,means
90,LSK,TB,COL6A3_integrin_a2b1_complex,0.1
91,LSK,TB,COL6A5_integrin_a1b1_complex,0.1
92,LSK,TB,COL6A5_integrin_a2b1_complex,0.1
93,LSK,TB,COL6A6_integrin_a1b1_complex,0.1
94,LSK,TB,COL6A6_integrin_a2b1_complex,0.1
95,LSK,TB,COL7A1_integrin_a1b1_complex,0.1
96,LSK,TB,COL7A1_integrin_a2b1_complex,0.1
97,LSK,TB,FN1_integrin_a2Bb3_complex,0.1
98,LSK,TB,FN1_integrin_a2b1_complex,0.1
99,LSK,TB,FN1_integrin_a3b1_complex,0.1
100,LSK,TB,FN1_integrin_a5b1_complex,0.1
101,LSK,TB,FN1_integrin_a8b1_complex,0.1
102,LSK,TB,LAMC1_integrin_a2b1_complex,0.1
103,ST,LSK,COL12A1_integrin_a1b1_complex,18.38
104,ST,LSK,COL12A1_integrin_a2b1_complex,13.15
105,ST,LSK,COL14A1_integrin_a1b1_complex,7.088
106,ST,LSK,COL14A1_integrin_a2b1_complex,1.858
107,ST,LSK,COL15A1_integrin_a1b1_complex,25.83
108,ST,LSK,COL15A1_integrin_a2b1_complex,20.6
109,ST,LSK,COL18A1_integrin_a1b1_complex,24.938
110,ST,LSK,COL18A1_integrin_a2b1_complex,19.708
111,ST,LSK,COL1A1_integrin_a1b1_complex,5.497
112,ST,LSK,COL1A1_integrin_a2b1_complex,0.267
113,ST,LSK,COL1A2_integrin_a1b1_complex,7.538
114,ST,LSK,COL1A2_integrin_a2b1_complex,2.308
115,ST,LSK,COL4A1_integrin_a1b1_complex,11.413
116,ST,LSK,COL4A1_integrin_a2b1_complex,6.183
117,ST,LSK,COL4A3_integrin_a1b1_complex,8.08
118,ST,LSK,COL4A3_integrin_a2b1_complex,2.85
119,ST,LSK,COL6A1_integrin_a1b1_complex,5.747
120,ST,LSK,COL6A1_integrin_a2b1_complex,0.517
121,ST,LSK,COL6A2_integrin_a1b1_complex,6.413
122,ST,LSK,COL6A2_integrin_a2b1_complex,1.183
123,ST,LSK,COL6A3_integrin_a1b1_complex,14.58
124,ST,LSK,COL6A3_integrin_a2b1_complex,9.35
125,ST,LSK,COL6A5_integrin_a1b1_complex,5.33
126,ST,LSK,COL6A5_integrin_a2b1_complex,0.1
127,ST,LSK,COL6A6_integrin_a1b1_complex,5.33
128,ST,LSK,COL6A6_integrin_a2b1_complex,0.1
129,ST,LSK,COL7A1_integrin_a1b1_complex,5.33
130,ST,LSK,COL7A1_integrin_a2b1_complex,0.1
131,ST,LSK,FN1_integrin_a2Bb3_complex,11.575
132,ST,LSK,FN1_integrin_a2b1_complex,4.767
133,ST,LSK,FN1_integrin_a3b1_complex,4.767
134,ST,LSK,FN1_integrin_a5b1_complex,9.342
135,ST,LSK,FN1_integrin_a8b1_complex,14.158
136,ST,LSK,LAMC1_integrin_a2b1_complex,19.442
137,ST,ST,COL12A1_integrin_a1b1_complex,13.15
138,ST,ST,COL12A1_integrin_a2b1_complex,13.15
139,ST,ST,COL14A1_integrin_a1b1_complex,1.858
140,ST,ST,COL14A1_integrin_a2b1_complex,1.858
141,ST,ST,COL15A1_integrin_a1b1_complex,20.6
142,ST,ST,COL15A1_integrin_a2b1_complex,20.6
143,ST,ST,COL18A1_integrin_a1b1_complex,19.708
